0,0: 0 
1,1: 1 
2,2: 2 
3,3: 3 
9,9: 9 
10,10: 10 
11,11: 11 
19,19: 19 
23,23: 23 
24,24: 24 
25,25: 25 
26,26: 26 
28,28: 28 
29,29: 29 
30,30: 30 
31,31: 31 
32,32: 32 
33,33: 33 
34,34: 34 
36,36: 36 
43,43: 43 
66,66: 66 
68,68: 68 
69,69: 69 
74,74: 74 
80,80: 80 
97,97: Unknown 
98,98: No second antigen detected 
99,99: Not Tested 
201,201: 0201 
202,202: 0202 
203,203: 0203 
205,205: 0205 
206,206: 0206 
210,210: 210 
1101,1101: 1101 
1102,1102: 1102 
2402,2402: 2402 
2403,2403: 2403 
2901,2901: 2901 
2902,2902: 2902 
3001,3001: 3001 
3002,3002: 3002 
3301,3301: 3301 
3303,3303: 3303 
3401,3401: 3401 
3402,3402: 3402 
6601,6601: 6601 
6602,6602: 6602 
6801,6801: 6801 
6802,6802: 6802 
